INSERT INTO Taxi VALUES ('YPP6492', 'Renault', 'Citroen', '2003', 'LP881328');
INSERT INTO Taxi VALUES ('LGM1950', 'Suzuki', 'Suzuki', '2014', 'BA871822');
INSERT INTO Taxi VALUES ('NCW1389', 'Fiat', 'Fiat', '2001', 'HT736070');
INSERT INTO Taxi VALUES ('HUL9084', 'Suzuki', 'Jeep', '2024', 'VG735496');
INSERT INTO Taxi VALUES ('KUJ9972', 'Nissan', 'Jaguar', '2015', 'DD183408');
INSERT INTO Taxi VALUES ('NVB8808', 'Citroen', 'Volkswagen', '1998', 'BL335515');
INSERT INTO Taxi VALUES ('BDJ3806', 'Volkswagen', 'Nissan', '2014', 'FV718659');
INSERT INTO Taxi VALUES ('BQX3821', 'Mitsubishi', 'BWM', '2006', 'SI982841');
INSERT INTO Taxi VALUES ('LOK9394', 'Marcopolo', 'BYD', '2015', 'QY904565');
INSERT INTO Taxi VALUES ('WKS0628', 'Jaguar', 'Renault', '2021', 'ZK759655');
INSERT INTO Taxi VALUES ('WTW6281', 'Nissan', 'Peugeot', '1999', 'HN356585');
INSERT INTO Taxi VALUES ('HFD8860', 'Fiat', 'Honda', '2016', 'NA100840');
INSERT INTO Taxi VALUES ('UHV5688', 'Nissan', 'Fiat', '2001', 'XE431384');
INSERT INTO Taxi VALUES ('KYC7269', 'Suzuki', 'Jaguar', '2014', 'IU435935');
INSERT INTO Taxi VALUES ('NCN6447', 'Peugeot', 'BWM', '2005', 'HV674376');
INSERT INTO Taxi VALUES ('IJG9811', 'Toyota', 'Jaguar', '2011', 'VW667041');
INSERT INTO Taxi VALUES ('OIV3517', 'Renault', 'Fiat', '2018', 'LR530917');
INSERT INTO Taxi VALUES ('DLB4115', 'Peugeot', 'Volkswagen', '2007', 'BA889774');
INSERT INTO Taxi VALUES ('SQE1250', 'Peugeot', 'Peugeot', '2015', 'SF098378');
INSERT INTO Taxi VALUES ('OTL0264', 'Citroen', 'Peugeot', '2017', 'SQ415180');
INSERT INTO Taxi VALUES ('XBM1813', 'Suzuki', 'Marcopolo', '2020', 'EM273247');
INSERT INTO Taxi VALUES ('DZT8175', 'BWM', 'Honda', '2013', 'QP004938');
INSERT INTO Taxi VALUES ('TXY5507', 'Fiat', 'Citroen', '2005', 'KQ937656');
INSERT INTO Taxi VALUES ('HBS2146', 'Nissan', 'Suzuki', '2019', 'XF678841');
INSERT INTO Taxi VALUES ('CZB3604', 'Citroen', 'Volkswagen', '2011', 'TZ829336');
INSERT INTO Taxi VALUES ('JJS5064', 'Fiat', 'Honda', '2000', 'IF708981');
INSERT INTO Taxi VALUES ('QMJ2726', 'Jaguar', 'Renault', '2002', 'CI677116');
INSERT INTO Taxi VALUES ('GIL4281', 'BWM', 'Jaguar', '2021', 'UX445164');
INSERT INTO Taxi VALUES ('WLJ2833', 'Jaguar', 'Fiat', '2012', 'DD707848');
INSERT INTO Taxi VALUES ('EZW4030', 'Suzuki', 'BWM', '2022', 'DT258910');
INSERT INTO Taxi VALUES ('KGF8200', 'Citroen', 'Citroen', '2004', 'PM216360');
INSERT INTO Taxi VALUES ('AHU7705', 'Volkswagen', 'BWM', '2008', 'YS402760');
INSERT INTO Taxi VALUES ('LNK2900', 'Volkswagen', 'Suzuki', '2017', 'XZ555074');
INSERT INTO Taxi VALUES ('IYD8622', 'Renault', 'Marcopolo', '1998', 'XL081752');
INSERT INTO Taxi VALUES ('XDK9814', 'BWM', 'GWM', '2011', 'JT826363');
INSERT INTO Taxi VALUES ('KFQ3982', 'GWM', 'Jaguar', '2023', 'HD751053');
INSERT INTO Taxi VALUES ('QOK6410', 'Fiat', 'Mitsubishi', '2020', 'PV044499');
INSERT INTO Taxi VALUES ('CDW1964', 'Fiat', 'Mitsubishi', '2007', 'VY388341');
INSERT INTO Taxi VALUES ('ZUX4080', 'Honda', 'Marcopolo', '2003', 'QG464601');
INSERT INTO Taxi VALUES ('OKF8036', 'Mitsubishi', 'Nissan', '2016', 'HU899284');
INSERT INTO Taxi VALUES ('MMM6533', 'Citroen', 'Jaguar', '1998', 'CK950384');
INSERT INTO Taxi VALUES ('IXV8422', 'Nissan', 'Jaguar', '1998', 'DN508371');
INSERT INTO Taxi VALUES ('RHQ7253', 'Honda', 'Mitsubishi', '2017', 'PT809747');
INSERT INTO Taxi VALUES ('ZFM1609', 'Nissan', 'Volkswagen', '2010', 'AY521860');
INSERT INTO Taxi VALUES ('EDS9093', 'Marcopolo', 'Mitsubishi', '2012', 'MT341432');
INSERT INTO Taxi VALUES ('YTO4869', 'Mitsubishi', 'GWM', '2016', 'EZ250494');
INSERT INTO Taxi VALUES ('USK2572', 'GWM', 'Citroen', '2020', 'LV906296');
INSERT INTO Taxi VALUES ('FAL7861', 'Suzuki', 'Marcopolo', '1998', 'YQ254617');
INSERT INTO Taxi VALUES ('XIK6250', 'Jaguar', 'Nissan', '1999', 'PN591446');
INSERT INTO Taxi VALUES ('SSC4319', 'Peugeot', 'Marcopolo', '2015', 'ZM316562');
INSERT INTO Taxi VALUES ('GBD7666', 'Marcopolo', 'Honda', '2004', 'AJ183395');
INSERT INTO Taxi VALUES ('WYA3608', 'BWM', 'Mitsubishi', '2018', 'UG801415');
INSERT INTO Taxi VALUES ('ZOD9118', 'Nissan', 'Jaguar', '2010', 'OD560663');
INSERT INTO Taxi VALUES ('FZR7565', 'Nissan', 'Fiat', '2019', 'MU400202');
INSERT INTO Taxi VALUES ('REN0142', 'Jaguar', 'Honda', '2018', 'OF549984');
INSERT INTO Taxi VALUES ('HKR8843', 'Jeep', 'Jeep', '1998', 'CJ775796');
INSERT INTO Taxi VALUES ('DFQ1248', 'Citroen', 'Honda', '2005', 'DR054232');
INSERT INTO Taxi VALUES ('SCN9616', 'Honda', 'Volkswagen', '2009', 'ZW822473');
INSERT INTO Taxi VALUES ('HBO6579', 'BWM', 'Peugeot', '2003', 'MT079579');
INSERT INTO Taxi VALUES ('ROY0628', 'BWM', 'Marcopolo', '2010', 'LJ035491');
INSERT INTO Taxi VALUES ('ZVO0061', 'GWM', 'Suzuki', '2007', 'EW268582');
INSERT INTO Taxi VALUES ('PWQ9058', 'Renault', 'Jeep', '2020', 'HH469462');
